"","indicator","name","description","sourceDatabase","sourceOrganization"
"15","1.1.HCount.Mid10to50","Middle Class ($10-50 a day) Headcount-Rural","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"16","1.1.HCount.Ofcl","Official Moderate Poverty Rate- Rural","The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.","LAC Equity Lab","LAC Equity Lab tabulations of data from National Statistical Offices."
"17","1.1.HCount.Poor4uds","Poverty Headcount ($4 a day)-Rural","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"18","1.1.HCount.Vul4to10","Vulnerable ($4-10 a day) Headcount-Rural","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"19","1.1.PGap.1.90usd","Poverty Gap ($1.90 a day)-Rural","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"20","1.1.PGap.2.5usd","Poverty Gap ($2.50 a day)-Rural","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"21","1.1.PGap.Poor4uds","Poverty Gap ($4 a day)-Rural","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"22","1.1.PSev.1.90usd","Poverty Severity ($1.90 a day)-Rural","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"23","1.1.PSev.2.5usd","Poverty Severity ($2.50 a day)-Rural","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"24","1.1.PSev.Poor4uds","Poverty Severity ($4 a day)-Rural","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"25","1.2.HCount.1.90usd","Poverty Headcount ($1.90 a day)-Urban","The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"26","1.2.HCount.2.5usd","Poverty Headcount ($2.50 a day)-Urban","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"27","1.2.HCount.Mid10to50","Middle Class ($10-50 a day) Headcount-Urban","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"28","1.2.HCount.Ofcl","Official Moderate Poverty Rate-Urban","The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.","LAC Equity Lab","LAC Equity Lab tabulations of data from National Statistical Offices."
"29","1.2.HCount.Poor4uds","Poverty Headcount ($4 a day)-Urban","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"30","1.2.HCount.Vul4to10","Vulnerable ($4-10 a day) Headcount-Urban","The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"31","1.2.PGap.1.90usd","Poverty Gap ($1.90 a day)-Urban","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"32","1.2.PGap.2.5usd","Poverty Gap ($2.50 a day)-Urban","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"33","1.2.PGap.Poor4uds","Poverty Gap ($4 a day)-Urban","The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"34","1.2.PSev.1.90usd","Poverty Severity ($1.90 a day)-Urban","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"35","1.2.PSev.2.5usd","Poverty Severity ($2.50 a day)-Urban","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"36","1.2.PSev.Poor4uds","Poverty Severity ($4 a day)-Urban","The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"37","2.0.cov.Cel","Coverage: Mobile Phone","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"38","2.0.cov.Ele","Coverage: Electricity","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"39","2.0.cov.FPS","Coverage: Finished Primary School","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"40","2.0.cov.Int","Coverage: Internet ","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"41","2.0.cov.Math.pl_2.all","Coverage: Mathematics Proficiency Level 2","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"42","2.0.cov.Math.pl_2.prv","Coverage: Mathematics Proficiency Level 2, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"43","2.0.cov.Math.pl_2.pub","Coverage: Mathematics Proficiency Level 2, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"44","2.0.cov.Math.pl_3.all","Coverage: Mathematics Proficiency Level 3","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"45","2.0.cov.Math.pl_3.prv","Coverage: Mathematics Proficiency Level 3, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"46","2.0.cov.Math.pl_3.pub","Coverage: Mathematics Proficiency Level 3, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"47","2.0.cov.Read.pl_2.all","Coverage: Reading Proficiency Level 2","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"48","2.0.cov.Read.pl_2.prv","Coverage: Reading Proficiency Level 2, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"49","2.0.cov.Read.pl_2.pub","Coverage: Reading Proficiency Level 2, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"50","2.0.cov.Read.pl_3.all","Coverage: Reading Proficiency Level 3","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"51","2.0.cov.Read.pl_3.prv","Coverage: Reading Proficiency Level 3, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"52","2.0.cov.Read.pl_3.pub","Coverage: Reading Proficiency Level 3, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"53","2.0.cov.San","Coverage: Sanitation","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"54","2.0.cov.Sch","Coverage: School Enrollment","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"55","2.0.cov.Scie.pl_2.all","Coverage: Science Proficiency Level 2","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"56","2.0.cov.Scie.pl_2.prv","Coverage: Science Proficiency Level 2, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"57","2.0.cov.Scie.pl_2.pub","Coverage: Science Proficiency Level 2, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"58","2.0.cov.Scie.pl_3.all","Coverage: Science Proficiency Level 3","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"59","2.0.cov.Scie.pl_3.prv","Coverage: Science Proficiency Level 3, Private schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"60","2.0.cov.Scie.pl_3.pub","Coverage: Science Proficiency Level 3, Public schools","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"61","2.0.cov.Wat","Coverage: Water","The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"62","2.0.hoi.Cel","HOI: Mobile Phone","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"63","2.0.hoi.Ele","HOI: Electricity","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"64","2.0.hoi.FPS","HOI: Finished Primary School","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"65","2.0.hoi.Int","HOI: Internet ","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"66","2.0.hoi.Math.pl_2.all","HOI: Mathematics Proficiency Level 2","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"67","2.0.hoi.Math.pl_2.prv","HOI: Mathematics Proficiency Level 2, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"68","2.0.hoi.Math.pl_2.pub","HOI: Mathematics Proficiency Level 2, Public schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"69","2.0.hoi.Math.pl_3.all","HOI: Mathematics Proficiency Level 3","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"70","2.0.hoi.Math.pl_3.prv","HOI: Mathematics Proficiency Level 3, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"71","2.0.hoi.Math.pl_3.pub","HOI: Mathematics Proficiency Level 3, Public schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"72","2.0.hoi.Read.pl_2.all","HOI: Reading Proficiency Level 2","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"73","2.0.hoi.Read.pl_2.prv","HOI: Reading Proficiency Level 2, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"74","2.0.hoi.Read.pl_2.pub","HOI: Reading Proficiency Level 2, Public schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"75","2.0.hoi.Read.pl_3.all","HOI: Reading Proficiency Level 3","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"76","2.0.hoi.Read.pl_3.prv","HOI: Reading Proficiency Level 3, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"77","2.0.hoi.Read.pl_3.pub","HOI: Reading Proficiency Level 3, Public schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"78","2.0.hoi.San","HOI: Sanitation","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"79","2.0.hoi.Sch","HOI: School Enrollment","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank)."
"80","2.0.hoi.Scie.pl_2.all","HOI: Science Proficiency Level 2","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"81","2.0.hoi.Scie.pl_2.prv","HOI: Science Proficiency Level 2, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"82","2.0.hoi.Scie.pl_2.pub","HOI: Science Proficiency Level 2, Public schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"83","2.0.hoi.Scie.pl_3.all","HOI: Science Proficiency Level 3","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
"84","2.0.hoi.Scie.pl_3.prv","HOI: Science Proficiency Level 3, Private schools","The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.","LAC Equity Lab","LAC Equity Lab tabulations using PISA Data."
